tradv_ticker;region;rapi_response_code;yahoo_symbol;group;;
ACWI;US;200;ACWI;40;;0
URTH;US;200;URTH;40;;1
NDX;US;200;^NDX;10;;2
MNQ1!;US;302;;;;3
SPX;US;200;^GSPC;10;;4
DJI;US;302;^DJI;;;5
RUT;US;200;^RUT;10;;6
DJR;US;302;^DJR;10;;7
NI225;JP;302;^N225;11;;8
DXY;US;302;;;;9
HSI;HK;302;^HSI;11;;10
1;CN;302;000001.SS;;;11
SENSEX;US;;^BSESN;10;;12
SMI;US;;^SSMI;10;;13
FSMI1!;US;;;;;14
SX5E;US;;^STOXX50E;;;15
UKX;US;;^FTSE;99;;16
DEU40;US;;^GDAXI;10;;17
FDAX1!;US;;;;;18
TDXP;US;;;;;19
CAC40;US;;;;;20
BRN1!;US;;;;;21
GAS1!;US;;;;;22
TTF1!;US;;;;;23
XAUUSD;US;;GC=F;10;;24
MULTPL/SHILLER_PE_;US;;;;;25
FED/SVENF;US;;;;;26
VIX;US;200;^VIX;;;27
MOVE;US;200;;;;28
US02Y;US;302;;;;29
US10Y;US;302;^TNX;20;;30
US30Y;US;302;^TYX;20;;31
DE10Y;US;;;;;32
IT10Y;US;;;;;33
FGBL1!;US;;;;;34
XU100;US;;;;;35
EURUSD;US;;EURUSD=X;30;;36
EURCHF;US;;EURCHF=X;30;;37
USDCHF;US;;USDCHF=X;30;;38
SOCL;US;;SOCL;40;;40
ISPY;US;;ISPY;;;41
HXR;US;;HXR;;;42
LIT;US;;LIT;41;;43
MILN;US;;MILN;40;;44
LYDAX.SW;US;;LYDAX.SW;40;;45
FINX;US;;FINX;;;46
ROBO.SW;US;;ROBO.SW;99;;47
VAPX;US;;VAPX;;;48
BNXG;US;;BNXG;;;49
IGV;US;;IGV;41;;50
WTAI.SW;US;;WTAI.SW;40;;51
ICHN.SW;US;;ICHN.SW;40;;52
INRG.SW;US;;INRG.SW;40;;53
LYNRJ.SW;US;;LYNRJ.SW;40;;54
XDEV.SW;US;;XDEV.SW;40;;55
XDEM.SW;US;;XDEM.SW;40;;57
DSB.PA;US;;DSB.PA;40;;59
LTUR.DE;US;;LTUR.DE;40;;60
CBMEM;US;;CBMEM.SW;40;;61
LYBNK.SW;US;;LYBNK.SW;40;;62
STZX.SW;US;;STZX.SW;40;;63
SPYD.DE;US;;SPYD.DE;40;;64
VHYD.L;US;;VHYD.L;40;;65
CHDVD.SW;US;;CHDVD.SW;40;;66
F1ESGA.SW;US;;F1ESGA.SW;40;;67
FLXI.SW;US;;FLXI.SW;40;;68
CHCORP.SW;US;;CHCORP.SW;40;;
COMO.SW;US;;COMO.SW;40;;
CSNDX.SW;US;;CSNDX.SW;40;;
ZGLDHC.SW;US;;ZGLDHC.SW;40;;
RBOT.SW;US;;RBOT.SW;40;;
CSBGC0.SW;US;;CSBGC0.SW;40;;
CSBGC3.SW;US;;CSBGC3.SW;41;;
WOSC.SW;US;;WOSC.SW;40;;
IPRV.SW;US;;IPRV.SW;40;;
XLPE.SW;US;;XLPE.SW;40;;
XS7W.DE;US;;XS7W.DE;40;;
TRET.SW;US;;TRET.SW;40;;
WOOD;US;;WOOD;40;;
IS0D.DE;US;;IS0D.DE;40;;
SEMI.SW;US;;SEMI.SW;40;;
BCHE.SW;US;;BCHE.SW;40;;
ZSIL.SW;US;;ZSIL.SW;40;;
EUNN.DE;US;;EUNN.DE;40;;
CSPXJ.SW;US;;CSPXJ.SW;40;;
BTC-USD;US;;BTC-USD;40;;
ETH-USD;US;;ETH-USD;40;;
IUFS.SW;US;;IUFS.SW;40;;
XWTS.SW;US;;XWTS.SW;40;;
XDEW.SW;US;;XDEW.SW;40;;
ACWI.SW;US;;ACWI.SW;40;;
AIAI.SW;US;;AIAI.SW;40;;
DFND.SW;US;;DFND.SW;40;;
